"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3450606241304","28.4728322248714","17.066958960637","12.4554038132851","20.236280630188","16.1539554329991","17.8845109452511","16.2041936592933","16.215975968932","16.4195691760111","21.7140001491266","20.8374465760359","24.8429527013295","27.0867619077105","28.1078274042853","35.0941906901967","41.8506802488286","43.5045318563582","46.8333157896094","42.8838785721266","39.3751094408429","30.7367448594284","23.5988356156116","21.2125120032579","19.9950573934454","20.6125615954784","17.357719658433","17.6483759985837","16.7409108725174","15.8155984319769","17.7739212520107","21.2039418643996","20.2658598068526","",
"American Samoa","ASM","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","30.2654547643412","30.2890633890975","29.7897458961097","29.5601081530782","30.0503505717378","31.0999008321476","32.2697071610204","31.4337220852802","32.4831387586018","31.3833847281165","31.4699905161902","30.6425245219459","30.0716097604777","29.0706543556804","28.4814949802856","25.8480106659182","26.2105869366991","25.7860981466274","26.319747187268","26.6818805736373","26.4077496805634","28.3962771892516","28.9530698237773","26.5500601862606","26.035865709499","27.0171341217436","28.1396267063293","27.9333549849312","27.7627152064873","28.6989342203516","27.6608309961823","24.5687070964387","22.8390322039544","23.4860576154662","23.9651444136551","25.0952916833049","24.1486741188992","24.0383354441181","25.1588486864436","25.3749153676301","25.937640529129","23.2027899270853","24.2951909323336","26.0502946054578","26.6305901359698","27.0109850212115","27.7891324899833","27.3982275856433","28.2116665493982","27.6018458255281","27.0290658940908","26.0186613902926","27.4041677660422","27.8381340470716","26.8647460922238","26.2023360145944","25.3305733313401","23.9941615730105","24.3652576702549","23.285908713761","22.6491208798961","22.4582687259952","23.0201511129893","",
"Austria","AUT","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","27.2204529619868","29.3309409972215","31.8156757918269","30.0225591682602","29.9093525897758","28.0692274676469","27.4137298138564","28.2721782187189","26.3026816012015","26.5758341588463","27.299680279615","27.2090246871691","24.5443191280251","23.6798552048118","23.1826035639788","23.8116054378784","23.60310928337","24.1693700009462","24.915295351705","25.170674243861","25.3676174436434","26.4424380236689","26.0309713513742","25.5181942322049","26.1614905376506","25.2990579458832","25.7918445446302","25.4194119489777","25.4702182023922","24.9592422057372","25.6116808815912","24.7966217719998","23.5305701513863","24.1081156475266","23.5915083524841","23.0521157470689","22.6007558309184","22.9170276835207","23.276465624832","22.4130082617233","21.5967237748965","22.4717154486786","22.649292785658","23.0401975609289","22.6605524717731","22.6967074577069","23.0962874287331","23.6285407586874","24.0951292623908","24.9143925706739","24.9784989547859","25.8273821071893","25.2970880128968","",
"Azerbaijan","AZE","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2592087312415","11.4520958083832","21.8169747515612","20.953821656051","26.2587136375767","15.6434529946574","29.1078094122813","36.9914194345059","35.5141545079347","28.5105030330322","23.1364320383205","22.8817066746934","34.08","52.8818302665641","57.7102529835174","41.3088440806548","29.7009527264192","21.3994816734543","18.5787748024277","18.8194317655155","18.1667255386789","20.1776045466764","22.4551866242143","25.7938881440995","27.4303937533572","27.8253034203751","25.0345882181606","23.8172078171339","20.6940768116666","21.1295517984961","22.6664792823179","16.2271252489185","12.8783089658347","",
"Burundi","BDI","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","6.25000031887757","6.89655199592323","7.37704897301033","6.01503764567164","5.36912735204978","5.53998449519947","6.7675665220635","6.90532658162938","8.21210230817218","8.31881271405396","3.99687369050478","5.0692244064058","5.26547320262649","5.71461418758289","6.50214237113592","9.25716457483101","9.08841750354228","11.1964113948967","14.036886178699","14.9162154755363","13.8857679938726","13.5653368373499","15.1329093102314","19.3129209799519","17.5880715234702","14.3049621373144","13.9803645746022","21.5151211696375","15.1101576689216","16.5658611656473","15.2430910159998","14.8977338153262","10.1923760717586","11.1004827555106","6.95145054228845","6.44299935366537","8.36518434055492","6.09684947491249","6.77161419290355","5.88493631971893","2.78113770989619","4.46825856260011","3.94866019879363","7.86879003706402","10.3470971301176","18.3","17.2129857241011","14.7864583013854","13.3089586890331","18.3748732038061","16.4603823918543","15.4457474178357","14.8381660783075","13.4326293891809","14.4030572050316","12.3260823851887","9.40365126224679","8.98405452767404","11.1034401240377","14.1287099999999","11.4459699999999","13.11261","13.3868708151359","",
"Belgium","BEL","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","26.9221955070836","26.1731919896704","25.2927693444964","25.3542955427698","26.9000679043218","26.5831824800111","26.0240943390343","25.5108143585387","25.5110223764704","24.3528472153269","24.8197573662501","21.5582679949954","20.2956400806129","18.720580506277","18.3669506893747","18.8219009903254","18.6655534221378","19.1086301886512","21.0756417285888","22.83655657605","23.9803812910788","22.3916858211095","22.0981515076207","21.3180910069297","20.7984827812125","21.2317407409695","21.1846630058459","21.8542937017378","21.7804884968778","22.1665354285214","22.5070638327085","22.3902708268942","20.696424121126","20.4941888377035","21.4618504095247","22.1538935922611","22.3254390645591","23.2930144412895","24.1181419052712","22.7845014096345","22.1230869298103","23.0103748246525","22.9618874566356","22.1730044797394","22.8058430290769","22.9634217691613","23.2777544361549","23.2785028022688","23.6226738438451","24.2834509006297","24.0789699004466","23.9224687830754","23.8998217290567","",
"Benin","BEN","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","27.0523280378744","16.6267377092867","12.4755060533288","8.74840336668087","12.8376893820997","13.3741655160011","15.0853504320924","12.4571096514897","12.6215462802717","12.9558310407174","13.4168075060895","13.8825185296768","16.2427832653018","17.5648673837753","16.3402660242417","17.2259606173951","17.2787547601197","20.0596856103684","18.7260035737058","19.0630663062128","16.9126841557001","17.5433638972786","16.0866608482814","15.0410868587762","14.1614409546098","17.0574739269899","15.8450088744723","16.5655504658066","17.6499967380481","18.2263279960581","16.2040295951807","20.7082627484833","21.6376626983262","20.4957392258274","19.72249305162","23.4384503972218","25.900562756214","25.1732556309975","25.2065173861299","28.447444436108","36.1329684205923","",
"Burkina Faso","BFA","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","15.5479502289963","14.1196846977812","13.8087158590648","17.2171027929582","17.2639734182026","14.8530527833504","19.1403974009873","19.1439429157191","19.9656829972361","18.4552271753081","19.6549793010251","17.7409318700115","20.0018536302565","19.4937699850016","18.7529870388975","25.7157287954269","22.4798067267414","22.5521355859493","24.2260159057352","22.3718622777746","17.0912927238886","16.4909288266509","13.6641871454809","13.3596138705109","14.3992388574488","15.634922833423","15.4378655956574","15.8951941535138","18.1832239589598","17.301896388026","18.7915710542384","20.1227742664708","21.1137502536834","22.1550536304438","23.4825820678442","18.6612605753847","19.147211610749","20.2451557982691","20.8903252097134","20.1522963589389","18.8401565202247","16.9959757967542","17.1057875086758","16.2916194807342","",
